instrument,kod ISIN,Pakiet,Pakiet_PLN,udzial_pct_portf,udzial_pct_obr,punkty bazowe,Symbol,Kapitalizacja (mln),Warto�� ksi�gowa (mln),Zysk na akcj� (ttm),Stopa dyw. (%)
LENA ,PLLENAL00015 ,10 111 000,32 152 980,10,"0,00 ",97,LEN,79.6,93.29,0.2789,4.7
LENTEX ,PLLENTX00010 ,18 952 000,134 180 160,43,"0,00 ",56,LTX,342.99,336.04,0.5756,7.8
LIBET ,PLLBT0000013 ,34 971 000,39 342 375,13,"0,00 ",117,LBT,54.5,152.72,,
LIVECHAT ,PLLVTSF00010 ,13 620 000,367 740 000,119,"0,02 ",80,LVC,690.1,53.18,2.126,2
LOKUM ,PLLKMDW00049 ,2 815 000,47 292 000,15,"0,00 ",117,LKD,302.4,330.16,6.2222,5
LOTOS ,PLLOTOS00025 ,86 543 000,7 485 969 500,2421,"8,36 ",8,LTS,16191.21,12034.7,8.5644,1.2
LPP ,PLLPP0000011 ,1 306 000,11 003 050 000,3558,"1,44 ",10,LPP,15652.97,2555.33,265.7729,0.5
LSISOFT ,PLLSSFT00016 ,1 552 000,17 227 200,6,"0,00 ",109,LSI,37.17,31.75,1.85,
LUBAWA ,PLLUBAW00013 ,73 170 000,57 584 790,19,"0,01 ",153,LBW,84.14,212.34,,
MABION ,PLMBION00016 ,8 276 000,645 528 000,209,"0,01 ",132,MAB,1070.22,58.01,,
MAKARONPL ,PLMKRNP00015 ,3 381 000,13 862 100,4,"0,00 ",303,MAK,37.93,78.35,0.6613,6.1
MANGATA ,PLZTKMA00017 ,2 270 000,147 550 000,48,"0,04 ",163,MGT,434,379.12,7.4713,13.8
MARVIPOL ,PLMRVDV00011 ,12 061 000,52 706 570,17,"0,01 ",187,MVP,182.44,403,1.4567,
MASTERPHA ,PLMSTPH00016 ,4 933 000,29 104 700,9,"0,00 ",153,MPH,128.57,79.65,0.5673,4.4
MAXCOM ,PLMXCMS00016 ,790 000,18 170 000,6,"0,01 ",51,MXC,62.91,65.67,3.8333,4.3
MBANK ,PLBRE0000012 ,12 984 000,5 793 460 800,1873,"0,61 ",10,MBK,18975.44,15213.98,31.2028,1.2
MBWS ,FR0000060873 ,74 000,1 095 200,0,"0,00 ",336,MBW,426.78,1003.83,3.3636,
MCI ,PLMCIMG00012 ,14 970 000,136 227 000,44,"0,00 ",103,MCI,481.57,1160.36,1.5965,
MDIENERGIA ,PLNFI1000012 ,7 246 000,25 143 620,8,"0,00 ",295,MDI,160,27.8,0.0391,2.1
MEDIACAP ,PLEMLAB00018 ,8 678 000,14 752 600,5,"0,02 ",193,MCP,31.31,20.7,0.0766,3.5
MEDICALG ,PLMDCLG00015 ,3 206 000,88 806 200,29,"0,04 ",82,MDG,101.88,183.16,4.3281,5.1
MENNICA ,PLMNNCP00011 ,22 998 000,542 752 800,176,"0,39 ",260,MNC,1217.09,555.54,1.3184,4.2
MERCATOR ,PLMRCTR00015 ,4 001 000,50 812 700,16,"0,00 ",155,MRC,136.07,130.43,0.8639,
MERCOR ,PLMRCOR00016 ,10 554 000,91 608 720,30,"0,00 ",190,MCR,136.86,141.51,0.9753,
MEXPOLSKA ,PLMEXPL00010 ,4 114 000,15 592 060,5,"0,00 ",384,MEX,29.44,17.58,0.5742,4.5
MFO ,PLMFO0000013 ,2 500 000,59 500 000,19,"0,01 ",359,MFO,167.83,134.09,4.1034,2.6
MILLENNIUM ,PLBIG0000016 ,605 345 000,5 690 243 000,1840,"0,70 ",26,MIL,11366.9,8384.39,0.6267,
MIRACULUM ,PLKLSTN00017 ,18 605 000,29 395 900,10,"0,04 ",310,MIR,47.78,22.94,,
MIRBUD ,PLMRBUD00015 ,44 032 000,50 196 480,16,"0,01 ",65,MRB,92.89,317.78,0.285,
MLPGROUP ,PLMLPGR00017 ,6 022 000,262 559 200,85,"0,00 ",1 000,MLG,789.74,815.35,5.1294,0.4
MLSYSTEM ,PLMLSTM00015 ,1 650 000,42 405 000,14,"0,00 ",76,MLS,145.21,73.17,1.4602,
MOL ,HU0000153937 ,26 809 000,1 212 839 160,392,"1,66 ",441,MOL,37447.74,26331.34,5.0267,3.5
MONNARI ,PLMNRTR00012 ,17 897 000,114 719 770,37,"0,02 ",61,MON,199.27,217.91,0.5673,
MORIZON ,PLMORZN00016 ,16 426 000,16 097 480,5,"0,00 ",103,MZN,41.63,29.44,0.0432,
MOSTALWAR ,PLMSTWS00019 ,9 981 000,29 743 380,10,"0,01 ",116,MSW,56,96.78,,
MWTRADE ,PLMWTRD00013 ,2 501 000,8 653 460,3,"0,00 ",0,MWT,28,86.14,0.5014,13.3
NETIA ,PLNETIA00014 ,94 990 000,473 050 200,153,"0,01 ",41,NET,1701.38,1867.12,0.193,
NEUCA ,PLTRFRM00018 ,1 616 000,420 968 000,136,"0,15 ",41,NEU,1171.73,629.79,23.0531,2.5
NEWAG ,PLNEWAG00012 ,25 059 000,385 908 600,125,"0,00 ",105,NWG,697.5,420.06,1.0199,
NOVATURAS ,LT0000131872 ,130 000,4 615 000,1,"0,00 ",321,NTU,277.15,60.96,2.9832,13.2
NOWAGALA ,PLCRMNG00029 ,33 577 000,18 131 580,6,"0,00 ",164,CNG,24.95,157.18,,9.3
NTTSYSTEM ,PLNTSYS00013 ,4 525 000,10 181 250,3,"0,00 ",287,NTT,31.86,132.38,0.3169,5.3
OAT ,PLONCTH00011 ,5 139 000,97 641 000,32,"0,00 ",221,OAT,257,83.36,,
ODLEWNIE ,PLODLPL00013 ,8 577 000,27 103 320,9,"0,00 ",137,ODL,66.54,62.13,0.5852,7.7
OEX ,PLTELL000023 ,2 665 000,47 703 500,15,"0,00 ",0,OEX,143.02,135.85,1.967,
OPONEO.PL ,PLOPNPL00013 ,7 651 000,201 986 400,65,"0,00 ",186,OPN,367.91,144.44,1.2222,1.3
OPTEAM ,PLOPTEM00012 ,1 353 000,8 185 650,3,"0,00 ",0,OPM,45.63,27.94,,
ORANGEPL ,PLTLKPL00017 ,647 357 000,3 541 042 790,1145,"0,44 ",19,OPL,7165.47,10501,0.0076,
ORBIS ,PLORBIS00014 ,6 526 000,592 560 800,192,"0,01 ",53,ORB,4193.01,2386.43,7.8957,1.8
ORION ,PLORION00018 ,1 716 000,12 269 400,4,"0,00 ",264,ORN,77.93,39.58,0.7606,3.1
ORZBIALY ,PLORZBL00013 ,4 513 000,46 258 250,15,"0,00 ",49,OBL,170.67,263.08,1.0904,10.9
OTLOG ,PLODRTS00017 ,4 043 000,24 662 300,8,"0,00 ",165,OTS,73.79,107.57,,
OTMUCHOW ,PLZPCOT00018 ,9 161 000,18 871 660,6,"0,00 ",428,OTM,54.05,95.87,,
OVOSTAR ,NL0009805613 ,1 602 000,174 618 000,56,"0,00 ",0,OVO,636,454,18.1667,
PAMAPOL ,PLPMPOL00031 ,6 502 000,9 232 840,3,"0,00 ",254,PMP,48.65,104.59,0.0023,
PANOVA ,PLPANVA00013 ,5 179 000,82 605 050,27,"0,00 ",250,NVA,159.5,363.12,2.0987,
PATENTUS ,PLPTNTS00019 ,5 959 000,6 316 540,2,"0,00 ",220,PAT,41.6,90.15,0.1514,
PBKM ,PLPBKM000012 ,4 327 000,291 639 800,94,"0,01 ",75,BKM,372.72,114.15,6.2991,1.1
PCCROKITA ,PLPCCRK00076 ,3 144 000,292 392 000,95,"0,11 ",64,PCR,1846.36,807.96,11.4815,8.9
PCM ,PLPRMCM00048 ,11 908 000,266 739 200,86,"0,13 ",50,PCM,267.95,453.74,1.2444,
PEKABEX ,PLPKBEX00072 ,9 715 000,113 665 500,37,"0,00 ",0,PBX,280.24,274.52,2.0526,1.4
PEKAO ,PLPEKAO00016 ,159 949 000,17 914 288 000,5793,"4,78 ",7,PEO,29383.52,22796.73,8.6822,7.1
PEMANAGER ,PLPREQM00011 ,1 130 000,28 137 000,9,"0,00 ",0,PEM,85.25,38.81,1.0462,11.8
PEP ,PLPLSEP00013 ,14 710 000,333 917 000,108,"0,01 ",94,PEP,1031.57,1184.84,0.0749,
PEPEES ,PLPEPES00018 ,11 232 000,15 387 840,5,"0,00 ",280,PPS,133.95,152.6,0.1412,
PFLEIDER ,PLZPW0000017 ,20 103 000,462 369 000,150,"0,01 ",86,PFL,1559.29,637.73,0.9055,4.8
PGE ,PLPGER000010 ,796 776 000,8 198 825 040,2651,"2,12 ",10,PGE,19108.96,46727,0.8039,
PGNIG ,PLPGNIG00014 ,1 624 608 000,10 105 061 760,3268,"4,70 ",10,PGN,36923.43,36634,0.5554,1.1
PGO ,PLPGO0000014 ,31 779 000,50 846 400,16,"0,00 ",123,PGO,151.19,270.02,0.2807,
PGSSOFT ,PLSFTWR00015 ,10 298 000,109 158 800,35,"0,00 ",224,PSW,301.38,25.5,0.6752,1.3
PHN ,PLPHN0000014 ,14 173 000,184 249 000,60,"0,03 ",109,PHN,608.78,2021,1.0156,2.1
PKNORLEN ,PLPKN0000018 ,289 049 000,29 193 949 000,9440,"9,34 ",7,PKN,43113.07,35634,12.7848,3
PKOBP ,PLPKO0000016 ,801 357 000,31 725 723 630,10259,"9,20 ",5,PKO,49437.5,39111,2.9992,1.4
PKPCARGO ,PLPKPCR00011 ,30 002 000,1 272 084 800,411,"0,17 ",46,PKP,2111.7,3519.86,4.9882,
PLASTBOX ,PLPSTBX00016 ,10 860 000,22 263 000,7,"0,00 ",0,PLX,84.3,72.09,0.0577,4.4
PLAY ,LU1642887738 ,109 574 000,2 461 032 040,796,"1,06 ",16,PLY,5773.98,-200.54,2.9169,11.4
PLAYWAY ,PLPLAYW00015 ,1 200 000,208 200 000,67,"0,42 ",47,PLW,1131.9,86.4,6.4022,1.4
PLAZACNTR ,NL0011882741 ,1 051 000,3 363 200,1,"0,00 ",461,PLZ,20.84,-3.5,,
PMPG ,PLPEKPL00010 ,2 792 000,5 402 520,2,"0,00 ",101,PGM,20.19,32.57,,
POLICE ,PLZCPLC00036 ,15 132 000,211 091 400,68,"0,01 ",198,PCE,1035,1082.88,,3.8
POLIMEXMS ,PLMSTSD00019 ,66 989 000,188 172 101,61,"0,05 ",32,PXM,665.85,651.89,,
POLNORD ,PLPOLND00019 ,21 679 000,173 648 790,56,"0,00 ",66,PND,263.83,640.99,,
POLWAX ,PLPOLWX00026 ,7 212 000,50 339 760,16,"0,04 ",125,PWX,72.92,117.44,1.5174,
POZBUD ,PLPZBDT00013 ,21 794 000,47 510 920,15,"0,05 ",162,POZ,57.56,168.38,0.2449,
PRAGMAFA ,PLGFPRE00040 ,518 000,8 106 700,3,"0,01 ",77,PRF,44.03,43.09,2.0064,
PRAGMAINK ,PLPRGNK00017 ,1 907 000,16 438 340,5,"0,00 ",387,PRI,31.65,49.17,1.2314,
PRAIRIE ,AU000000PDZ2 ,19 334 000,19 914 020,6,"0,08 ",104,PDZ,217.37,37.97,,
PRIMETECH ,PLKOPEX00018 ,5 335 000,6 775 450,2,"0,00 ",224,PTH,20.14,-122.47,3.175,
PROCAD ,PLPRCAD00018 ,3 213 000,4 819 500,2,"0,00 ",263,PRD,13.53,19.5,0.1546,
PROCHEM ,PLPRCHM00014 ,1 768 000,28 906 800,9,"0,00 ",511,PRM,49.9,81.7,3.4787,
PROJPRZEM ,PLPROJP00018 ,2 050 000,41 820 000,14,"0,00 ",437,PJP,124.44,105.51,1.8545,5.4
PROTEKTOR ,PLLZPSK00019 ,7 132 000,31 024 200,10,"0,00 ",480,PRT,82.74,51.17,,2.8
PROVIDENT ,GB00B1YKG049 ,95 000,936 700,0,"0,00 ",321,IPF,2286.23,2173.23,1.6164,6
PZU ,PLPZU0000011 ,568 305 000,23 539 193 100,7612,"6,47 ",6,PZU,35793.03,14925,3.7315,6
QUANTUM ,PLQNTUM00018 ,347 000,5 638 750,2,"0,00 ",155,QNT,21.37,12.47,0.4288,13.7
QUERCUS ,PLQRCUS00012 ,27 248 000,69 482 400,22,"0,00 ",212,QRS,145.48,42.02,,
R22 ,PLR220000018 ,5 306 000,102 936 400,33,"0,09 ",172,R22,276.51,88.16,0.6025,
RADPOL ,PLRDPOL00010 ,35 058 000,45 049 530,15,"0,00 ",241,RDL,48.97,93.5,0.0476,
RAFAKO ,PLRAFAK00018 ,72 350 000,158 084 750,51,"0,05 ",71,RFK,283.54,578.48,,
RAFAMET ,PLRFMET00016 ,646 000,8 268 800,3,"0,00 ",439,RAF,55.28,92.72,,1.9
RAINBOW ,PLRNBWT00031 ,7 121 000,156 662 000,51,"0,01 ",45,RBW,323.05,110.6,0.4044,5.5
RANKPROGR ,PLRNKPR00014 ,20 932 000,31 816 640,10,"0,01 ",121,RNK,57.26,366.82,0.8941,
RAWLPLUG ,PLKLNR000017 ,12 721 000,111 944 800,36,"0,00 ",46,RWL,293.04,419.64,1,3.8
REDAN ,PLREDAN00019 ,12 457 000,6 726 780,2,"0,00 ",291,RDN,18.71,66.25,,
RELPOL ,PLRELPL00014 ,5 824 000,44 029 440,14,"0,00 ",0,RLP,73.22,77.82,0.7714,5.3
REMAK ,PLREMAK00016 ,1 282 000,18 204 400,6,"0,00 ",503,RMK,42.6,27.84,3.55,
RONSON ,NL0006106007 ,55 661 000,46 309 952,15,"0,01 ",212,RON,134.16,343.48,0.0824,7.2
ROPCZYCE ,PLROPCE00017 ,1 195 000,46 485 500,15,"0,00 ",112,RPC,242.25,248.14,3.1885,2
SANOK ,PLSTLSK00016 ,23 914 000,698 288 800,226,"0,02 ",95,SNK,779.58,451.44,2.3934,10.3
SANPL ,PLBZ00000044 ,33 108 000,13 196 848 800,4267,"2,37 ",13,SPL,40263.63,25104.03,23.7262,0.8
SANTANDER ,ES0113900J37 ,607 000,11 533 000,4,"0,00 ",14,SAN,300376.62,414250.77,2.1348,1.5
SECOGROUP ,PLWRWCK00013 ,4 552 000,70 556 000,23,"0,00 ",0,SWG,157.57,165.65,,
SEKO ,PLSEKO000014 ,2 494 000,21 947 200,7,"0,00 ",0,SEK,58.52,68.14,1.3538,5.1
SELENAFM ,PLSELNA00010 ,5 021 000,56 235 200,18,"0,00 ",141,SEL,255.74,434.62,0.8058,2.7
SELVITA ,PLSELVT00013 ,9 016 000,494 978 400,160,"0,00 ",101,SLV,868.83,204.7,0.6451,
SERINUS ,JE00BF4N9R98 ,77 947 000,50 275 815,16,"0,03 ",102,SEN,136.48,59,,
SFINKS ,PLSFNKS00011 ,23 972 000,22 773 400,7,"0,00 ",146,SFS,29.23,3.84,,
SILVAIR-REGS ,USU827061099 ,7 180 000,104 397 200,34,"0,00 ",0,SVRS,166.06,44.01,,
SILVANO ,EE3100001751 ,1 956 000,21 418 200,7,"0,00 ",46,SFG,392.4,117.92,1.2882,19.6
SIMPLE ,PLSIMPL00011 ,2 060 000,13 802 000,4,"0,00 ",458,SME,32.96,16.69,0.8481,3.3
SKARBIEC ,PLSKRBH00014 ,3 041 000,51 849 050,17,"0,01 ",210,SKH,115.97,106.19,2.6641,26.1
SKYLINE ,PLSKLNW00011 ,6 368 000,4 330 240,1,"0,00 ",154,SKL,15.86,29.36,,
SLEEPZAG ,DE000A2E3772 ,479 000,1 475 320,0,"0,00 ",444,SLZ,57.49,26.17,,
SNIEZKA ,PLSNZKA00033 ,4 208 000,361 888 000,117,"0,00 ",159,SKA,1104.06,261.69,5,2.6
SOHODEV ,PLNFI0400015 ,18 427 000,20 730 375,7,"0,00 ",209,SHD,38.02,50.59,,
SOLAR ,PLSLRCP00021 ,12 010 000,7 542 280,2,"0,00 ",0,SOL,17.76,89.98,,
SONEL ,PLSONEL00011 ,4 781 000,33 467 000,11,"0,00 ",0,SON,98,77.33,0.3167,1.4
SOPHARMA ,BG11SOSOBT18 ,11 000,91 300,0,"0,00 ",0,SPH,1118.82,1047.77,0.4798,3.9
STALEXP ,PLSTLEX00019 ,95 938 000,384 711 380,124,"0,03 ",27,STX,991.52,805.31,0.7291,7.2
STALPROD ,PLSTLPD00017 ,1 810 000,582 820 000,188,"0,02 ",43,STP,1782.9,2598.59,49.5385,0.9
STALPROFI ,PLSTLPF00012 ,7 716 000,72 530 400,23,"0,00 ",212,STF,161,280.64,1.541,1.9
STELMET ,PLSTLMT00010 ,5 550 000,50 283 000,16,"0,00 ",0,STL,265.45,455.98,0.1478,
SUNEX ,PLSUNEX00013 ,1 003 000,5 095 240,2,"0,00 ",188,SNX,20.25,23.86,0.4792,
SUWARY ,PLSUWAR00014 ,576 000,6 220 800,2,"0,00 ",467,SUW,49.84,70.75,1.0693,
SYGNITY ,PLCMPLD00016 ,11 886 000,36 252 300,12,"0,00 ",164,SGN,70.89,60.75,,
SYNEKTIK ,PLSNKTK00019 ,3 595 000,48 712 250,16,"0,01 ",117,SNT,115.14,77.98,2.0224,
TALANX ,DE000TLX1005 ,76 000,11 400 000,4,"0,00 ",0,TNX,37919.65,37413.62,11.9048,
TALEX ,PLTALEX00017 ,532 000,7 448 000,2,"0,00 ",0,TLX,42,50.51,1.75,8.6
TARCZYNSKI ,PLTRCZN00016 ,3 587 000,60 620 300,20,"0,00 ",106,TAR,191.76,173.07,1.7979,
TATRY ,SK1120010287 ,30 000,4 050 000,1,"0,00 ",74,TMR,905.47,527.83,4.8561,
TAURONPE ,PLTAURN00011 ,1 043 590 000,2 172 754 380,703,"0,94 ",15,TPE,3767.98,18967.64,0.5949,
TBULL ,PLTBULL00024 ,341 000,10 775 600,3,"0,00 ",214,TBL,35.32,15.42,3.3617,
TESGAS ,PLTSGS000019 ,4 993 000,18 673 820,6,"0,00 ",382,TSG,41.09,68.41,0.129,
TIM ,PLTIM0000016 ,14 099 000,98 129 040,32,"0,01 ",167,TIM,155.39,174.52,0.4579,14.4
TORPOL ,PLTORPL00016 ,14 241 000,96 838 800,31,"0,12 ",82,TOR,158.03,201.81,0.8293,
TOWERINVT ,PLTWRNV00013 ,623 000,13 643 700,4,"0,00 ",278,TOW,34.18,64.03,7.3,
TOYA ,PLTOYA000011 ,25 352 000,184 562 560,60,"0,00 ",243,TOA,547.81,175.84,0.5824,6.5
TRAKCJA ,PLTRKPL00014 ,35 243 000,97 975 540,32,"0,04 ",62,TRK,141.35,741.45,0.1794,3.6
TRANSPOL ,PLTRNSP00013 ,11 641 000,41 558 370,13,"0,00 ",0,TRN,82.94,110.01,0.2705,5.9
TRITON ,PLASMOT00030 ,2 531 000,6 403 430,2,"0,00 ",273,TRI,16.1,88.87,2.1083,
TSGAMES ,PLTSQGM00016 ,3 057 000,319 456 500,103,"0,25 ",55,TEN,751.11,28.31,3.6034,0.8
ULMA ,PLBAUMA00017 ,1 288 000,82 432 000,27,"0,00 ",237,ULM,349.5,309.42,9.0141,6
UNIBEP ,PLUNBEP00015 ,14 620 000,94 152 800,30,"0,00 ",143,UNI,227.26,266.84,0.8587,3
UNICREDIT ,IT0005239360 ,13 519 000,707 314 080,229,"0,00 ",0,UCG,116682.84,239781.25,7.4743,2.6
UNIMOT ,PLUNMOT00013 ,2 637 000,34 281 000,11,"0,06 ",138,UNT,105.75,174.38,,13.1
VENTUREIN ,PLVNTIN00011 ,4 475 000,5 817 500,2,"0,00 ",659,VTI,39.09,51.63,0.1912,
VIGOSYS ,PLVIGOS00015 ,442 000,133 484 000,43,"0,00 ",403,VGO,225.99,54.22,17.8698,
VINDEXUS ,PLVNDEX00013 ,4 548 000,34 564 800,11,"0,00 ",79,VIN,89.4,171.38,1.52,3.3
VISTULA ,PLVSTLA00011 ,187 055 000,820 236 175,265,"0,36 ",39,VST,1019.88,805.1,0.2284,
VIVID ,PLVVDGM00014 ,15 390 000,29 087 100,9,"0,30 ",101,VVD,50.86,14.91,,
VOTUM ,PLVOTUM00016 ,4 595 000,29 408 000,10,"0,03 ",227,VOT,78.24,40.82,0.6737,
VOXEL ,PLVOXEL00014 ,5 317 000,140 368 800,45,"0,01 ",108,VOX,281.47,134.33,2.2957,3.8
WARIMPEX ,AT0000827209 ,6 243 000,31 215 000,10,"0,00 ",0,WXF,270,443.15,0.6579,5.1
WASKO ,PLHOGA000041 ,16 755 000,27 813 300,9,"0,01 ",133,WAS,153.2,226.36,0.0709,
WAWEL ,PLWAWEL00013 ,642 000,572 664 000,185,"0,60 ",82,WWL,1331.78,670.24,51.5607,2.8
WIELTON ,PLWELTN00012 ,20 525 000,250 815 500,81,"0,01 ",72,WLT,731.75,350.09,1.4902,2
WIKANA ,PLELPO000016 ,4 190 000,4 818 500,2,"0,00 ",688,WIK,21.62,45.3,,
WIRTUALNA ,PLWRTPL00027 ,17 624 000,1 022 192 000,331,"0,06 ",124,WPL,1709.49,429.87,1.9205,1.7
WITTCHEN ,PLWTCHN00030 ,4 365 000,69 840 000,23,"0,00 ",258,WTN,292.22,122.55,1.8824,5.3
WOJAS ,PLWOJAS00014 ,1 767 000,8 693 640,3,"0,00 ",586,WOJ,62.37,71.7,1.0933,4.1
WORKSERV ,PLWRKSR00019 ,19 233 000,40 581 630,13,"0,08 ",138,WSE,139.95,12.89,,
XTB ,PLXTRDM00011 ,16 473 000,66 550 920,22,"0,02 ",149,XTB,478.93,455.16,0.8596,8.7
XTPL ,PLXTPL000018 ,318 000,51 198 000,17,"0,05 ",321,XTP,291.62,6.94,,
ZAMET ,PLZAMET00010 ,46 149 000,36 919 200,12,"0,00 ",452,ZMT,81.56,117.82,0.0046,
ZEPAK ,PLZEPAK00012 ,24 622 000,201 407 960,65,"0,01 ",121,ZEP,408.62,2100.07,,14.7
ZPUE ,PLZPUE000012 ,699 000,65 007 000,21,"0,01 ",113,PUE,135.8,273.56,,
ZUE ,PLZUE0000015 ,8 629 000,32 962 780,11,"0,00 ",187,ZUE,87.51,211.3,0.5969,
